,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,negative regulation of relaxation of muscle (GO:1901078),3/6,8.975829464588214e-06,0.0093438384726363,0,0,130.53947368421052,1516.9959874027893,PDE4D;PDE4B;NEUROG1
1,GO_Biological_Process_2021,transepithelial transport (GO:0070633),3/16,0.0002374000832195512,0.1235667433157764,0,0,30.10931174089069,251.28520171916048,SLC23A2;SLC1A1;GPLD1
2,GO_Biological_Process_2021,regulation of relaxation of cardiac muscle (GO:1901897),2/6,0.0008770408644773522,0.1929262602503268,0,0,64.83986928104575,456.4050498695137,PDE4D;PDE4B
3,GO_Biological_Process_2021,hydrogen sulfide metabolic process (GO:0070813),2/6,0.0008770408644773522,0.1929262602503268,0,0,64.83986928104575,456.4050498695137,MPST;ETHE1
4,GO_Biological_Process_2021,membrane depolarization during action potential (GO:0086010),3/26,0.0010413400903819,0.1929262602503268,0,0,17.009725400457665,116.80998312208952,CACNA1C;SCN2A;SCN3A
5,GO_Biological_Process_2021,regulation of cardiac muscle cell contraction (GO:0086004),3/27,0.0011648833522799,0.1929262602503268,0,0,16.30016447368421,110.10980051937489,PDE4D;PDE4B;CACNA1C
6,GO_Biological_Process_2021,GPI anchor metabolic process (GO:0006505),3/28,0.0012972947375142,0.1929262602503268,0,0,15.647368421052631,104.01547715528795,PIGB;MPPE1;GPLD1
7,GO_Biological_Process_2021,GPI anchor biosynthetic process (GO:0006506),3/32,0.0019201623461608,0.2064418478680252,0,0,13.48638838475499,84.36201944980475,PIGB;PIGT;MPPE1
8,GO_Biological_Process_2021,maintenance of apical/basal cell polarity (GO:0035090),2/9,0.0020729611988468,0.2064418478680252,0,0,37.04575163398693,228.8974441857843,SLC9A3R1;ANK1
9,GO_Biological_Process_2021,maintenance of epithelial cell apical/basal polarity (GO:0045199),2/9,0.0020729611988468,0.2064418478680252,0,0,37.04575163398693,228.8974441857843,SLC9A3R1;ANK1
10,GO_Biological_Process_2021,endoplasmic reticulum organization (GO:0007029),4/73,0.0024944331205397,0.2064418478680252,0,0,7.592283328534409,45.50582137582752,REEP1;REEP5;RAB18;SPTSSB
11,GO_Biological_Process_2021,regulation of actin filament-based movement (GO:1903115),2/10,0.0025780442096871,0.2064418478680252,0,0,32.41339869281046,193.20733082812885,PDE4D;PDE4B
12,GO_Biological_Process_2021,protein localization to endosome (GO:0036010),2/10,0.0025780442096871,0.2064418478680252,0,0,32.41339869281046,193.20733082812885,MICALL1;WASHC2C
