,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,negative regulation of relaxation of muscle (GO:1901078),2/6,0.001299607122307,0.2886174440439021,0,0,52.95989304812834,351.955205011133,PDE4D;PDE4B
1,GO_Biological_Process_2021,regulation of relaxation of cardiac muscle (GO:1901897),2/6,0.001299607122307,0.2886174440439021,0,0,52.95989304812834,351.955205011133,PDE4D;PDE4B
2,GO_Biological_Process_2021,cilium organization (GO:0044782),8/228,0.001501984387151,0.2886174440439021,0,0,3.935911602209945,25.587235850681488,ARMC2;CEP126;FAM161A;CEP83;NEK1;FAM161B;DZIP1;KIF27
3,GO_Biological_Process_2021,positive regulation of interleukin-2 production (GO:0032743),3/26,0.001839965414496,0.2886174440439021,0,0,13.8765778401122,87.39480524354776,PDE4D;PDE4B;MAP3K7
4,GO_Biological_Process_2021,regulation of cardiac muscle cell contraction (GO:0086004),3/27,0.0020556675397121,0.2886174440439021,0,0,13.29771505376344,82.27501948856492,PDE4D;PDE4B;CACNA1C
5,GO_Biological_Process_2021,establishment of endothelial barrier (GO:0061028),3/29,0.0025326839204598,0.2886174440439021,0,0,12.273573200992557,73.37725913930568,PDE4D;RDX;RAPGEF6
6,GO_Biological_Process_2021,regulation of transmembrane transporter activity (GO:0022898),2/9,0.003061318462855,0.2886174440439021,0,0,30.25821237585944,175.16205566578424,CHRM3;BCL2
7,GO_Biological_Process_2021,negative regulation of JNK cascade (GO:0046329),3/33,0.0036785274595423,0.2886174440439021,0,0,10.63494623655914,59.61145532893969,TAOK3;ZMYND11;HIPK3
8,GO_Biological_Process_2021,regulation of actin filament-based movement (GO:1903115),2/10,0.0038029224368117,0.2886174440439021,0,0,26.47459893048128,147.51607991629834,PDE4D;PDE4B
9,GO_Biological_Process_2021,cellular response to oxygen levels (GO:0071453),2/10,0.0038029224368117,0.2886174440439021,0,0,26.47459893048128,147.51607991629834,ATP6V1A;CPEB4
10,GO_Biological_Process_2021,positive regulation of keratinocyte migration (GO:0051549),2/10,0.0038029224368117,0.2886174440439021,0,0,26.47459893048128,147.51607991629834,ADAM9;MAPRE2
11,GO_Biological_Process_2021,lipoprotein transport (GO:0042953),2/10,0.0038029224368117,0.2886174440439021,0,0,26.47459893048128,147.51607991629834,MIA3;ZDHHC17
12,GO_Biological_Process_2021,response to tumor necrosis factor (GO:0034612),5/110,0.0039303267027592,0.2886174440439021,0,0,5.099896480331263,28.24849350419042,ASAH1;ERBIN;ADAM9;CXCL16;NFE2L2
13,GO_Biological_Process_2021,regulation of JUN kinase activity (GO:0043506),3/35,0.0043522225478852,0.2886174440439021,0,0,9.969254032258064,54.2035184013119,TAOK3;MAP3K7;HIPK3
14,GO_Biological_Process_2021,lipoprotein localization (GO:0044872),2/11,0.0046192192413566,0.2886174440439021,0,0,23.531788472964944,126.54288866714312,MIA3;ZDHHC17
15,GO_Biological_Process_2021,"Wnt signaling pathway, calcium modulating pathway (GO:0007223)",3/36,0.004715227161258,0.2886174440439021,0,0,9.666666666666666,51.78392912781091,PPP3CA;MAP3K7;TNRC6B
16,GO_Biological_Process_2021,endoplasmic reticulum organization (GO:0007029),4/73,0.005061730048437,0.2886174440439021,0,0,6.186290638464551,32.701022744651674,REEP5;CAV2;MIA3;TMCC1
17,GO_Biological_Process_2021,positive regulation of cell projection organization (GO:0031346),5/117,0.0051041766970617,0.2886174440439021,0,0,4.779454580745342,25.224508868836235,PTPRD;NTRK2;MAGI2;CAPRIN2;TWF1
18,GO_Biological_Process_2021,cellular response to thyroid hormone stimulus (GO:0097067),2/12,0.0055087461361039,0.2886174440439021,0,0,21.17754010695187,110.15324345880153,THRB;RDX
19,GO_Biological_Process_2021,regulation of keratinocyte migration (GO:0051547),2/12,0.0055087461361039,0.2886174440439021,0,0,21.17754010695187,110.15324345880153,ADAM9;MAPRE2
20,GO_Biological_Process_2021,integrin-mediated signaling pathway (GO:0007229),4/75,0.005570741107465,0.2886174440439021,0,0,6.0114198705748,31.200634805588464,DST;ERBIN;ITGB8;ADAM9
21,GO_Biological_Process_2021,response to thyroid hormone (GO:0097066),2/13,0.0064700610948986,0.3199739305113489,0,0,19.25133689839572,97.03770598812706,THRB;RDX
22,GO_Biological_Process_2021,integrated stress response signaling (GO:0140467),2/15,0.0086023891435701,0.4069304081827969,0,0,16.287947346770878,77.46084051521699,IMPACT;NFE2L2
23,GO_Biological_Process_2021,positive regulation of neuron projection development (GO:0010976),4/88,0.0097249036949203,0.4177697011463238,0,0,5.077734877734878,23.5254772258526,NTRK2;MAGI2;CAPRIN2;TWF1
24,GO_Biological_Process_2021,regulation of interleukin-2 production (GO:0032663),3/48,0.0105170541821969,0.4177697011463238,0,0,7.084587813620072,32.26857686845743,PDE4D;PDE4B;MAP3K7
25,GO_Biological_Process_2021,response to hydrogen peroxide (GO:0042542),3/49,0.0111263696842571,0.4177697011463238,0,0,6.930224403927069,31.17518023890249,IMPACT;ADAM9;NFE2L2
