Annotation,PDE4D,PDE4DIP,PDE4A,PDE4B,PDE4C
AFF4,0.5120001950471768,0.9513435481470585,0.5064952664689429,0.3759038002560312,0.2752041865271544
ZGLP1,0.3735288096565202,-0.006836531417280069,0.21691273288890225,0.46504996221398437,-0.30566997655702793
LOC105373021,0.22447198921260003,-0.2256206809977269,0.0049726117434817025,0.37869391999258334,0.33090405417761465
GABPB1-AS1,0.549716130165598,0.35532608949533434,0.3088025282443426,0.5331202575490902,0.2629401958378304
CHDH,0.5628408777376043,0.21700107394132723,0.44228283696779297,0.5787250945223559,0.5660721242359789
MIR6801,-0.5719522614857283,-0.5229583246851851,-0.1830207321773784,-0.47506894812326983,-0.2685381951659459
ZFP90,0.6635392299442574,0.4360259274281879,0.42181800156932137,0.6267891923872791,0.4636002717336054
KDM6B,-0.1616387016814678,-0.15630362519169402,-0.02689183644365504,-0.4762435104350945,0.22402949284956863
DCLRE1A,0.6302129934071097,0.8972270947230295,0.29773035003149717,0.5537954264796384,0.4868872593381553
LOC440461,-0.005533079788413012,0.0062120363481631405,0.26605164464593967,-0.15547699089115638,0.4544720314266086
NSUN5P2,0.22789653120356643,-0.005432852011939463,0.03139038780048771,0.15621620428120664,0.4082662711521971
SC5D,0.5314342635719486,0.439420937852677,0.10258092418849127,0.4847431601835303,0.567958402314739
DSN1,0.07724972178062277,0.4077416417457131,-0.12870168409849755,-0.16680397347065506,0.4502402811559124
LOC105370941,0.6095722769032573,0.331506424179391,0.28295155555988083,0.5364553672714564,0.7099617467654403
KCP,0.1311031749116173,-0.13741975761643918,0.09010026736813335,-0.15009999476580274,0.4990634603541108
SKP1,0.1369399604877854,0.046215242237140554,0.039855642977442526,0.37699190375320346,-0.3864115889792279
MPND,-0.14896970756119068,-0.43729964213995,-0.2507827082541807,-0.011331473573982124,-0.45808783267267533
ADAMTS9,0.6636535370940971,0.4384113715183113,0.4973234279932355,0.5370686400651034,0.17967743528518015
PRPF3,0.8112858805346465,0.7618077153677678,0.34866649234857344,0.6241935365946715,0.39312394536092665
PDGFRA,-0.003879960006024732,-0.2277557124555722,0.31813523030478835,0.15409410684953323,0.35489851826515895
PARP14,0.5749694656593559,0.26650064459141126,0.5379006913632611,0.47363822868604405,0.1869898492021406
CCDC9,-0.005824412670865534,0.30368705892701386,0.005550389140310918,-0.17157547745071972,0.5307955797462429
TM7SF2,-0.21375300649184667,-0.5085148698800462,-0.3871562367243923,0.043553558281358595,-0.48787905153714184
CDV3,0.22978650810948453,0.7300179105775768,0.025453863869243094,-0.041895700780744005,0.1553536241953927
NELFA,-0.36802984068690614,-0.3415353545156129,-0.2623783213671196,-0.264985380512356,-0.1856122486065413
ARHGEF19,-0.2190280166131817,-0.301559255294869,-0.0955583523002103,-0.4671968960210418,-0.03998006496434967
P2RX3,0.3395970976595351,-0.11606608232919008,0.6106195086732313,0.41530680894782696,0.4682923138728123
UBR5,0.538951845445967,0.9318468535030566,0.4558283331227355,0.3942584763168026,0.27702131670134467
AP2M1,0.3366595939811216,0.03886944421233601,0.02641977146983488,0.6361543384288094,0.08261506428894252
SPDYE3,0.3680880961953764,0.2511539721326927,0.13251923831787832,0.5355107613321639,0.49211093546791174
TMEM88B,-0.3053823526075304,-0.11837131712015883,-0.13807453776451364,-0.6689177942302402,-0.14806832440375198
RAP2B,0.045076709987287925,0.37659583972854505,0.16518981146516823,-0.18964774651251276,-0.3730691133845688
FAIM,0.1086380513563691,0.44181336316011993,-0.10046232119353339,0.20834982834566326,0.033485928512473735
C1QTNF9B-AS1,0.2587159688059039,0.2570673237647175,0.12317847675018379,0.1227027262196008,-0.13205870781865248
BCCIP,-0.06833352311255064,0.4419776842660994,-0.22498773023416616,-0.23346218086516832,-0.044185695356564456
CRABP2,-0.4858049053556706,-0.29537767522443215,-0.19010777905055995,-0.5260162134377763,0.04652908551024132
EIF2S2,0.3244831840730558,0.6609894539343458,0.06491800194886176,0.2232118453200902,0.4756298508900907
LTV1,0.4057425044390911,0.7709909951689983,0.12383674399214634,0.46218856608797476,-0.270779237286372
SGIP1,0.2408249523938236,0.14010404080321584,0.4062799602660738,0.3753330823149407,0.3597507097109452
PALM2-AKAP2,0.46364683820529373,0.09764139519373458,0.1612261093490746,0.46248116913951465,0.1480622427461003
DAZAP2,0.09599058284124949,-0.02788052906658228,0.15913463649155343,-0.22562852371989833,0.28525488700029844
ZMYND8,0.7419277613495345,0.6145770988020868,0.5407769771630971,0.6563091058735359,0.6417951106548768
ZNF7,0.5018790525873346,0.3767729647271989,0.5174890910537819,0.3570651661107584,0.6105160600241071
SLC22A5,0.3676311835797407,-0.030243891149242336,0.5511061080065919,0.5284160125069813,0.2125179987182797
CDK3,0.6316497451042364,0.1537072116325197,0.42461105371458674,0.6661302818371189,0.14086085869149242
LOC105379183,-0.21111907956348747,-0.0605277658978922,-0.14982649723676864,0.011008692769112392,-0.33431559648591513
PRKACG,-0.12562441272080993,-0.4029002827065441,-0.003071228891627141,0.03278301857042948,0.12501726125777554
NAA40,0.08068296688205967,0.316047678358216,0.12903691104950984,-0.09957866557637733,-0.2208417286713634
BLMH,-0.4664720547886055,0.06842420100345752,-0.4050575665714626,-0.7029611744502042,-0.28799068963806224
SGPP1,0.35344674049801467,0.4236043804713566,0.2016904290384174,0.001183294394202092,0.22206146133468388
S1PR5,-0.3051080533242908,0.13368510454709384,-0.42456471416825625,-0.2944445404042143,-0.09429420207685614
SELENOV,-0.31488991596836735,-0.08821234121576922,-0.4573730204147571,-0.5025827907366617,-0.4403846506344554
ABL2,0.3432934797243306,0.7721899028599978,0.2757756979823394,0.030775441589694585,0.22233318635979352
NFASC,-0.11481816567327599,0.1400816769586228,-0.1722335093594472,-0.047885071378830614,-0.13381344828962483
CPT2,-0.16181208134376093,-0.15323752847200214,-0.10017983274138269,-0.33002163483277863,-0.011387371444783025
IZUMO1,0.14769409072614395,0.09190904602364527,-0.22181232231060918,-0.1612697309016799,-0.09131333989217796
